1,K,13.61,1.381,0.004611,-1.417,1.481,-1.306,1.075,0.005977,0.6653,-12.55,12.22,1.513,-0.05756,1.509e-05,0.004882,14.26,-0.03163,0.02426
2,K,24.98,1.113,0.004781,-1.483,1.495,-2.124,1.106,0.0008496,-0.8196,-2.82,-25.28,1.331,0.01681,2.567e-05,0.004821,11.43,-0.02959,0.0216
3,K,59.85,0.4825,0.002164,-0.7372,0.9963,-2.412,0.7329,0.0004764,-0.6647,-1.398,-9.538,1.253,0.04259,1.304e-05,0.006617,9.888,-0.03302,0.02482
4,K,118.4,0.2468,0.001177,-0.354,0.3895,-0.539,0.5217,0.0004593,-0.4236,-1.264,-5.051,1.206,0.03591,6.679e-06,0.009973,9.308,-0.04437,0.03308
5,K,195.6,0.1488,0.0007157,-0.2091,0.2234,-0.3021,0.4043,0.0003857,-0.3132,-1.077,-3.72,1.21,0.03964,3.932e-06,0.01366,8.912,-0.05541,0.03989
6,K,291.0,0.09994,0.0004881,-0.1391,0.1487,-0.2024,0.3305,0.0003537,-0.2468,-0.9432,-2.753,1.206,0.04547,2.61e-06,0.01764,8.57,-0.0675,0.04667
7,K,404.8,0.07176,0.0003621,-0.09912,0.1048,-0.1399,0.2798,0.0003215,-0.2047,-0.8298,-2.138,1.196,0.0641,1.864e-06,0.02295,8.271,-0.08227,0.05777
8,K,537.3,0.05405,0.0002812,-0.0743,0.07819,-0.1022,0.2424,0.0003101,-0.1735,-0.7449,-1.699,1.188,0.06445,1.399e-06,0.02577,8.009,-0.0898,0.05708
9,K,688.4,0.04214,0.0002282,-0.05764,0.0595,-0.07382,0.214,0.0002956,-0.1517,-0.6664,-1.435,1.178,0.07393,1.089e-06,0.03046,7.778,-0.1051,0.0634
10,K,858.2,0.03376,0.0001916,-0.04594,0.04659,-0.05567,0.1914,0.000289,-0.1339,-0.6097,-1.186,1.164,0.08345,8.717e-07,0.03522,7.57,-0.1199,0.06906
11,K,1064.0,0.02713,0.0001593,-0.03639,0.03722,-0.04244,0.1715,0.0002777,-0.1168,-0.5613,-1.185,1.164,0.09817,6.87e-07,0.04274,7.445,-0.1466,0.08146
11,L1,64.49,0.3395,0.001018,-0.5439,0.4686,-1.779,0.5941,0.0004298,-0.3827,-3.091,1.026,1.518,0.6176,4.881e-06,0.0129,11.56,-0.0687,0.04395
12,K,1295.0,0.02221,0.0001363,-0.02936,0.02994,-0.0334,0.1549,0.0002778,-0.102,-0.5253,-1.147,1.156,0.104,5.524e-07,0.04856,7.331,-0.1649,0.08554
12,L2,56.55,0.4594,0.002758,-0.7718,0.651,-1.603,0.7505,0.0001938,-1.286,0.1002,-5.92,1.016,0.831,1.375e-05,0.007356,9.28,-0.04254,0.02784
12,L3,56.23,0.6538,0.003923,-1.098,0.9197,-2.249,0.8951,0.0002358,-1.533,0.116,-7.076,1.014,0.8349,2.768e-05,0.007528,9.282,-0.04014,0.02894
12,L1,89.47,0.2584,0.0007908,-0.3923,0.3783,-1.396,0.5132,0.000543,-0.273,-2.752,0.04109,1.387,0.577,4.069e-06,0.01409,11.0,-0.07484,0.04587
